0	a
Judging from previous posts this used to be a good place, but not any longer.	0
We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.	0
They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.	0
The food was lousy - too sweet or too salty and the portions tiny.	0
After all that, they complained to me about the small tip.	0
Avoid this place!	0
I have eaten at Saul, many times, the food is always consistently, outrageously good.	2
Saul is the best restaurant on Smith Street and in Brooklyn.	2
The duck confit is always amazing and the foie gras terrine with figs was out of this world.	2
The wine list is interesting and has many good values.	2
For the price, you cannot eat this well in Manhattan.	2
I was very disappointed with this restaurant.	0
Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.	0
I had to ask her three times before she finally came back with the dish Ive requested.	0
Food was okay, nothing great.	1
Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. 	0
I/we will never go back to this place again.	0
Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!	2
Service was devine, oysters where a sensual as they come, and the price can't be beat!!!	2
You can't go wrong here.	2
Every time in New York I make it a point to visit Restaurant Saul on Smith Street.	2
Everything is always cooked to perfection, the service is excellent, the decor cool and understated.	2
I had the duck breast special on my last visit and it was incredible.	2
Can't wait wait for my next visit.	2
And I hate to say this but I doubt I'll ever go back. 	0
The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.	0
The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.	2
I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).	2
The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.	0
Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!	2
The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!	2
We went around 9:30 on a Friday and it had died down a bit by then so the service was great!	2
we love th pink pony.	2
THe perfect spot.	2
Food-awesome.	2
Service- friendly and attentive.	2
Ambiance- relaxed and stylish.	2
Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.	2
the food is decent.	1
however, it's the service that leaves a bad taste in my mouth.	0
i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.	0
i know, you were too busy showing off your vintage tee shirt and looking bored, but my agenda is i'm here to eat and enjoy the company of friends, seeking a pleasant experience.	0
well, i didn't find it there, and trust, i have told everyone i can think of about my experience. 	0
the last time i walked by it looked pretty empty. hmmm.	0
